0	3.309359	0.000001
1	1.191425	0.999823
2	2.284225	0.138438
3	3.094408	1.000000
4	6.310264	1.000000
5	1.775744	0.010939
6	2.898440	0.999991
7	8.489087	0.000000
8	1.608785	0.000000
9	7.462755	0.000000
10	5.017599	0.000000
11	3.672017	0.999979
12	2.536316	0.950501
13	11.187943	1.000000
14	2.844668	0.999999
15	5.667267	1.000000
16	1.609541	0.132408
17	7.530099	1.000000
18	2.816780	0.999924
19	2.515620	0.993655
20	6.492921	0.000000
21	1.469252	0.117451
22	1.397663	0.720453
23	2.952103	0.000001
24	1.937831	0.996769
25	1.541629	0.937307
26	2.893249	0.000000
27	2.033434	0.000586
28	3.529001	0.000911
29	9.016397	1.000000
30	4.614847	1.000000
31	2.018096	0.000425
32	1.520010	0.541019
33	1.474193	0.315968
34	8.583708	1.000000
35	1.242437	0.032747
36	3.466384	1.000000
37	4.678088	0.000000
38	4.419608	0.000000
39	6.206711	0.000001
